city,latitude,longitude,"visitor number(before pandemic, 2019)",plot1,plot1_txt,plot2,plot2_txt,plot3,plot3_txt,plot4,plot4_txt,,,
New York,40.7128,-74.006,66.6 million,Statue of Liberty and Ellis Island Tour,"Explore the iconic statue and its history, as well as the nearby Ellis Island Immigration Museum.",Broadway Show,Enjoy a night out in the Theater District with a Broadway show.,Central Park Bike Tour,See the sights of Central Park on a guided bike tour.,Food and Culture Tour,Sample the diverse culinary scene and explore the cultural neighborhoods of the city.,,,
Los Angeles,34.0522,-118.2437,50 million,Hollywood Sign Hike,Hike up to the Hollywood sign for stunning views of the city.,Universal Studios Hollywood,Visit the famous theme park and studio tour.,Beverly Hills Celebrity Homes Tour,See the homes of Hollywood's elite on a guided tour.,Santa Monica Pier,Enjoy the attractions and beachfront scenery of the famous pier.,,,
Chicago,41.8781,-87.6298,58 million,Navy Pier,Visit the famous pier for attractions and views of Lake Michigan.,Willis Tower Skydeck,Step out onto the glass ledge for views of the city from above.,Art Institute of Chicago,Explore the museum's world-class collection of art and artifacts.,Chicago River Architecture Tour,See the city's famous architecture from the river.,,,
Houston,29.7604,-95.3698,22.3 million,Space Center Houston,Learn about the history and future of space exploration at this interactive attraction and museum.,"Museum of Fine Arts, Houston","Explore the museum's collection of art from around the world, with a focus on American and European art.",Houston Zoo,See animals from around the world at this popular attraction.,Buffalo Bayou Park,Enjoy the outdoor space and recreational activities at this park located along the bayou.,,,
Phoenix,33.4484,-112.074,18.5 million,Desert Botanical Garden,Enjoy the beauty of the desert and its plants at this attraction.,Heard Museum,Learn about the history and culture of Native Americans at this museum and interactive attraction.,Papago Park,Enjoy the outdoor space and recreational activities at this park located in the desert.,Phoenix Art Museum,"Explore the museum's collection of art from around the world, with a focus on American and European art.",,,
Philadelphia,39.9526,-75.1652,45 million,Independence Hall,Visit the birthplace of the Declaration of Independence and the Constitution.,Philadelphia Museum of Art,Explore the museum's collection of art and artifacts.,Reading Terminal Market,Sample the food vendors in the famous market.,Franklin Institute,Explore the museum's science exhibits and hands-on demos.,,,
San Antonio,29.4241,-98.4936,39.2 million,The Alamo,Learn about the history and significance of the famous mission and battle at this historic site.,River Walk,"Explore the downtown district with its shops, restaurants, and entertainment options along the river.",San Antonio Missions National Historical Park,Learn about the history and culture of the Spanish missions at this national park.,San Antonio Zoo,See animals from around the world at this popular attraction.,,,
San Diego,32.7157,-117.1611,35.8 million,San Diego Zoo,Visit the famous zoo and its many animals and exhibits.,USS Midway Museum,Explore the historic aircraft carrier and its exhibits.,Coronado Beach,Enjoy the beach and views of the famous Hotel del Coronado.,Old Town,Explore the historic neighborhood and its shops and restaurants.,,,
Dallas,32.7767,-96.797,27 million,Sixth Floor Museum,Learn about the life and assassination of President John F. Kennedy at this museum located in the former Texas School Book Depository.,Dallas Arboretum and Botanical Garden,Enjoy the beautiful gardens and seasonal events at this attraction.,Dallas World Aquarium,See a variety of marine life and exotic animals from around the world at this indoor aquarium.,AT&T Stadium,Take a tour of the home of the Dallas Cowboys and see the world's largest domed stadium.,,,
San Jose,37.3382,-121.8863,9 million,Winchester Mystery House,"Explore this strange mansion built by the widow of the inventor of the Winchester rifle, with its odd features and rumored ghosts.",Tech Museum of Innovation,Learn about technology and science with hands-on exhibits and demos at this museum.,San Jose Museum of Art,Explore the museum's collection of modern and contemporary art from around the world.,Santana Row,Shop and dine at this upscale outdoor shopping district in the heart of Silicon Valley.,,,
Austin,30.2672,-97.7431,27.4 million,Texas State Capitol,Visit the beautiful pink granite building and take a tour of the state government offices.,Barton Springs Pool,Swim in the natural spring-fed pool and enjoy the surrounding parkland.,South Congress Avenue,Shop and dine at the eclectic and colorful street of this trendy neighborhood.,Lady Bird Lake Hike and Bike Trail,Walk or bike along the scenic trail that runs through downtown Austin and along the lake.,,,
Jacksonville,30.3322,-81.6557,6.7 million,Jacksonville Zoo and Gardens,See a variety of animals and enjoy the botanical gardens at this attraction.,Cummer Museum of Art and Gardens,"Explore the museum's collection of art and artifacts, as well as its beautiful gardens.",Kingsley Plantation,Learn about the history of slavery and explore the former plantation on this National Park Service site.,Little Talbot Island State Park,Enjoy the beach and nature trails at this state park located on a barrier island.,,,
Fort Worth,32.7555,-97.3308,10.5 million,Fort Worth Stockyards,"See the historic district with its cattle drives, rodeos, and western shops and restaurants.",Kimbell Art Museum,"Explore the museum's collection of art from around the world, with a focus on antiquities, Asian art, and European masters.",Fort Worth Botanic Garden,Enjoy the beautiful gardens and seasonal events at this attraction.,Modern Art Museum of Fort Worth,Explore the museum's collection of modern and contemporary art from around the world.,,,
Columbus,39.9612,-82.9988,43.4 million,Columbus Museum of Art,"Explore the museum's collection of American and European art, as well as its special exhibitions and events.",Franklin Park Conservatory and Botanical Gardens,Enjoy the beautiful gardens and seasonal events at this attraction.,Ohio Statehouse,Visit the state government offices and learn about the history of Ohio at this landmark building.,North Market,"Shop and dine at this historic indoor market, featuring local and international vendors.",,,
Indianapolis,39.7684,-86.1581,29.2 million,Indianapolis Motor Speedway,Take a tour of the famous racetrack and learn about its history.,Indianapolis Zoo,See a variety of animals and enjoy the botanical gardens at this attraction.,Children's Museum of Indianapolis,"Explore the museum's interactive exhibits and activities, as well as its planetarium and theater.",Canal Walk,Walk or bike along the scenic canal and enjoy the surrounding shops and restaurants.,,,
Charlotte,35.2271,-80.8431,28.6 million,NASCAR Hall of Fame,Learn about the history and drivers of NASCAR at this museum and interactive attraction.,U.S. National Whitewater Center,"Enjoy outdoor activities such as whitewater rafting, zip-lining, and hiking at this attraction.",Discovery Place Science,Explore the museum's hands-on exhibits and demos on science and technology.,Freedom Park,Enjoy the outdoor space and recreational activities.,,,
San Francisco,37.7749,-122.4194,25.8 million,Alcatraz Island Tour,Visit the infamous prison island and learn about its history.,Golden Gate Park Segway Tour,See the sights of the park on a Segway tour.,Napa Valley Wine Tour,Take a day trip to nearby wine country for tastings and tours.,Chinatown Food Tour,Sample the cuisine and history of San Francisco's Chinatown neighborhood.,,,
Seattle,47.6062,-122.3321,22.8 million,Space Needle,Visit the iconic tower for stunning views of the city and Puget Sound.,Pike Place Market,Explore the famous market and its food and crafts vendors.,Boeing Factory Tour,Take a tour of the Boeing plant in nearby Everett.,Museum of Flight,Learn about the history of aviation and see historic aircraft.,,,
Denver,39.7392,-104.9903,33.9 million,Red Rocks Park and Amphitheater,Visit the beautiful park and see a concert at the natural amphitheater.,Denver Art Museum,"Explore the museum's collection of art and artifacts from around the world, with a focus on American Indian and Western art.",Denver Botanic Gardens,Enjoy the beautiful gardens and seasonal events at this attraction.,Colorado State Capitol,Visit the state government offices and take a tour of the historic building with its distinctive dome.,,,
Oklahoma City,35.4676,-97.5164,6.1 million,National Cowboy and Western Heritage Museum,Learn about the history and culture of the American West at this museum and interactive attraction.,Oklahoma City National Memorial and Museum,Pay tribute to the victims of the 1995 bombing and learn about the events of that day.,Bricktown,Shop and dine at this revitalized downtown district with its canal walk and entertainment options.,Myriad Botanical Gardens,Enjoy the beautiful gardens and seasonal events at this attraction.,,,
Nashville,36.1627,-86.7816,16.1 million,Country Music Hall of Fame and Museum,Learn about the history and artists of country music at this museum and interactive attraction.,Grand Ole Opry,See a show at the famous music venue and radio show.,Ryman Auditorium,Visit the historic music venue that hosted the Grand Ole Opry for many years.,Cheekwood Estate and Gardens,Enjoy the beautiful gardens and art exhibitions at this attraction.,,,
El Paso,31.7619,-106.485,2.7 million,Franklin Mountains State Park,Enjoy hiking and scenic views at this state park located in the mountains.,Plaza Theatre,See a show or concert at the restored historic theater in the heart of downtown El Paso.,El Paso Museum of Art,"Explore the museum's collection of art from around the world, with a focus on American and Southwestern art.",Hueco Tanks State Park and Historic Site,Enjoy rock climbing and petroglyphs at this state park located in the desert.,,,
Washington,38.9072,-77.0369,22.8 million,National Mall,Visit the monuments and memorials along the National Mall.,Smithsonian Museums,Explore the many museums and exhibits of the Smithsonian.,Georgetown,Explore the historic neighborhood with its shops and restaurants.,Kennedy Center for the Performing Arts,Enjoy a show or tour of the famous venue.,,,
